States/UTs,Crime Head,18-30,30-45,45-60,60+,Total
Himachal Pradesh,7.3 - Kidnapping for Ransom (Section 364A IPC),0,0,2,0,2
Himachal Pradesh,7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),44,19,1,0,64
Himachal Pradesh,7.5 - Other Kidnapping,23,4,2,0,29
Himachal Pradesh,"8 - Dacoity (Section 395,396-398 IPC)",8,4,0,0,12
Himachal Pradesh,8.1 - Dacoity with Murder (Section 396 IPC),0,0,0,0,0
Himachal Pradesh,8.2 - Other Dacoity,8,4,0,0,12
Himachal Pradesh,9 - Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),0,0,0,0,0
Himachal Pradesh,"10 - Robbery (Section 392 to 394, 397 and 398 IPC)",15,10,0,0,25
Himachal Pradesh,11 - Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),321,234,86,11,652
Himachal Pradesh,"11.1 - Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",105,90,37,0,232
Himachal Pradesh,"11.2 - House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",216,144,49,11,420
Himachal Pradesh,12 - Theft (Section 379 to 382 IPC),315,187,81,3,586
Himachal Pradesh,12.1 - Auto Theft,64,44,9,0,117
Himachal Pradesh,12.2 - Other Thefts,251,143,72,3,469
Himachal Pradesh,"13 - Unlawful Assembly (Section 143,144 & 145)",51,23,7,3,84
Himachal Pradesh,"14 - Riots (Section 147, 148, 149, 150 & 151 IPC)",925,910,543,109,2487
Himachal Pradesh,14.1 - Communal,0,0,0,0,0
Himachal Pradesh,14.2 - Industrial,0,0,0,0,0
Himachal Pradesh,14.3 - Political,7,15,5,2,29
Himachal Pradesh,14.4 - Caste Conflict,0,0,0,0,0
Himachal Pradesh,14.4.1 - SC/STs Vs. Non-SCs/STs,0,0,0,0,0
Himachal Pradesh,14.4.2 - Other Caste Riots,0,0,0,0,0
Himachal Pradesh,14.5 - Agrarian,0,0,0,0,0
Himachal Pradesh,14.6 - Students,68,40,22,4,134
Himachal Pradesh,14.7 - Sectarian,0,0,0,0,0
Himachal Pradesh,14.8 - Other Riots,850,855,516,103,2324
Himachal Pradesh,15 - Criminal Breach of Trust (Section 406 to 409 IPC),28,43,24,1,96
Himachal Pradesh,16 - Cheating (Section 420 IPC),93,191,116,12,412
Himachal Pradesh,"17 - Forgery (Section 465, 468 & 471 IPC)",10,25,6,2,43
Himachal Pradesh,"18 - Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",3,0,0,0,3
Himachal Pradesh,"18.1 - Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",0,0,0,0,0
Himachal Pradesh,18.2 - Counterfeiting Government Stamp (Section 255 IPC),0,0,0,0,0
Himachal Pradesh,18.3 - Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),3,0,0,0,3
Himachal Pradesh,18.3.1 - Counterfeiting currency notes or Bank notes (Section 489A IPC),0,0,0,0,0
Himachal Pradesh,18.3.2 - Using forged or counterfeit currency/Bank notes (Section 489B IPC),0,0,0,0,0
Himachal Pradesh,18.3.3 - Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),3,0,0,0,3
Himachal Pradesh,18.3.4 - Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),0,0,0,0,0
Himachal Pradesh,18.3.5 - Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),0,0,0,0,0
Himachal Pradesh,19 - Arson (Section 435-436 & 438 IPC),26,32,23,5,86
Himachal Pradesh,"20 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",366,384,201,30,981
Himachal Pradesh,20.1 - Grievous Hurt (Section 325 & 326 IPC),366,383,201,30,980
Himachal Pradesh,20.2 - Acid attack (Section 326A IPC),0,1,0,0,1
Himachal Pradesh,20.3 - Attempt to Acid Attack (Section 326B IPC),0,0,0,0,0
Himachal Pradesh,21 - Dowry Deaths (Section 304-B IPC),3,0,2,0,5
Himachal Pradesh,22 - Assault on women with intent to outrage her Modesty (Section 354 IPC),272,264,104,28,668
Himachal Pradesh,22.1 - Sexual Harassment (Section 354A IPC),79,77,22,6,184
Himachal Pradesh,22.2 - Assault on women with intent to Disrobe (Section 354B IPC),9,11,4,2,26
Himachal Pradesh,22.3 - Voyeurism (Section 354C IPC),1,1,1,0,3
Himachal Pradesh,22.4 - Stalking (Section 354D IPC),43,17,8,1,69
Himachal Pradesh,22.5 - Others,140,158,69,19,386
Himachal Pradesh,23 - Insult to the Modesty of Women (Section 509 IPC),16,28,12,3,59
Himachal Pradesh,23.1 - At Office premises,0,0,0,0,0
Himachal Pradesh,23.2 - Places related to work other than Office,0,0,0,0,0
Himachal Pradesh,23.3 - In Public Transport system,0,0,0,0,0
Himachal Pradesh,23.4 - in Other Places,16,28,12,3,59
Himachal Pradesh,24 - Cruelty by Husband or his Relatives (Section 498-A IPC),190,253,185,51,679
Himachal Pradesh,25 - Importation of Girls from Foreign Country (Section 366-B IPC),0,0,0,0,0
Himachal Pradesh,26 - Causing Death by Negligence (Section 304-A IPC),163,218,98,4,483
Himachal Pradesh,26.1 - Deaths due to negligent driving/act,155,201,76,3,435
Himachal Pradesh,26.2 - Deaths due to Other Causes,8,17,22,1,48
Himachal Pradesh,"27 - Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",0,1,1,0,2
Himachal Pradesh,27.1 - Sedition (Section 124A IPC),0,1,1,0,2
Himachal Pradesh,27.2 - Other offences against State,0,0,0,0,0
Himachal Pradesh,28 - Offences promoting enmity between different groups (Section 153A & 153B IPC),0,0,0,0,0
Himachal Pradesh,28.1 - Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),0,0,0,0,0
Himachal Pradesh,28.2 - Imputation & assertions prejudicial to national integration (Section 153B IPC),0,0,0,0,0
Himachal Pradesh,29 - Extortion (Section 384 - 389 IPC),1,5,0,0,6
Himachal Pradesh,30 - Disclosure of Identity of Victims (Section 228 A IPC),0,0,0,0,0
Himachal Pradesh,31 - Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),906,884,226,17,2033
Himachal Pradesh,32 - Human Trafficking (Section 370 & 370A IPC),0,1,0,0,1
Himachal Pradesh,33 - Unnatural Offences U/s 377 IPC,4,8,1,0,13
Himachal Pradesh,34 - Other IPC crimes,3162,3526,1897,259,8844
Himachal Pradesh,35 - Total Cognizable IPC crimes,7283,7476,3715,553,19027
Jammu & Kashmir,1 - Murder (Section 302 IPC),70,166,38,1,275
Jammu & Kashmir,2 - Attempt to commit Murder (Section 307 IPC),332,554,131,89,1106
Jammu & Kashmir,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),4,15,4,0,23
Jammu & Kashmir,4 - Attempt to commit Culpable Homicide (Section 308 IPC),0,0,0,0,0
Jammu & Kashmir,5 - Rape (Section 376 IPC),160,156,26,0,342
Jammu & Kashmir,5.1 - Custodial Rape,0,0,0,0,0
Jammu & Kashmir,5.1.1 - Gang Rape,0,0,0,0,0
Jammu & Kashmir,5.1.2 - Other Rape,0,0,0,0,0
Jammu & Kashmir,5.2 - Rape other than Custodial,160,156,26,0,342
Jammu & Kashmir,5.2.1 - Gang Rape,0,0,0,0,0
Jammu & Kashmir,5.2.2 - Other Rape,160,156,26,0,342
Jammu & Kashmir,6 - Attempt to commit Rape (Section 376/511 IPC),6,11,0,0,17
Jammu & Kashmir,"7 - Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",249,480,40,0,769
Jammu & Kashmir,7.1 - Kidnapping & Abduction (Section 363 IPC),70,174,6,0,250
Jammu & Kashmir,7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),5,7,0,0,12
Jammu & Kashmir,7.3 - Kidnapping for Ransom (Section 364A IPC),0,0,0,0,0
Jammu & Kashmir,7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),75,114,11,0,200
Jammu & Kashmir,7.5 - Other Kidnapping,99,185,23,0,307
Jammu & Kashmir,"8 - Dacoity (Section 395,396-398 IPC)",12,10,4,0,26
Jammu & Kashmir,8.1 - Dacoity with Murder (Section 396 IPC),0,0,0,0,0
Jammu & Kashmir,8.2 - Other Dacoity,12,10,4,0,26
Jammu & Kashmir,9 - Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),0,0,0,0,0
Jammu & Kashmir,"10 - Robbery (Section 392 to 394, 397 and 398 IPC)",18,71,11,0,100
Jammu & Kashmir,11 - Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),281,501,66,0,848
Jammu & Kashmir,"11.1 - Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",114,177,26,0,317
Jammu & Kashmir,"11.2 - House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",167,324,40,0,531
Jammu & Kashmir,12 - Theft (Section 379 to 382 IPC),520,1011,306,27,1864
Jammu & Kashmir,12.1 - Auto Theft,71,169,14,0,254
Jammu & Kashmir,12.2 - Other Thefts,449,842,292,27,1610
Jammu & Kashmir,"13 - Unlawful Assembly (Section 143,144 & 145)",0,0,0,0,0
Jammu & Kashmir,"14 - Riots (Section 147, 148, 149, 150 & 151 IPC)",1304,3382,767,20,5473
Jammu & Kashmir,14.1 - Communal,0,0,0,0,0
Jammu & Kashmir,14.2 - Industrial,0,0,0,0,0
Jammu & Kashmir,14.3 - Political,2,151,0,0,153
Jammu & Kashmir,14.4 - Caste Conflict,0,0,0,0,0
Jammu & Kashmir,14.4.1 - SC/STs Vs. Non-SCs/STs,0,0,0,0,0
Jammu & Kashmir,14.4.2 - Other Caste Riots,0,0,0,0,0
Jammu & Kashmir,14.5 - Agrarian,0,0,0,0,0
Jammu & Kashmir,14.6 - Students,0,0,0,0,0
Jammu & Kashmir,14.7 - Sectarian,0,0,0,0,0
Jammu & Kashmir,14.8 - Other Riots,1302,3231,767,20,5320
Jammu & Kashmir,15 - Criminal Breach of Trust (Section 406 to 409 IPC),33,105,11,0,149
Jammu & Kashmir,16 - Cheating (Section 420 IPC),177,237,138,10,562
Jammu & Kashmir,"17 - Forgery (Section 465, 468 & 471 IPC)",5,9,2,0,16
Jammu & Kashmir,"18 - Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",6,15,5,0,26
Jammu & Kashmir,"18.1 - Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",0,0,0,0,0
Jammu & Kashmir,18.2 - Counterfeiting Government Stamp (Section 255 IPC),0,0,0,0,0
Jammu & Kashmir,18.3 - Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),6,15,5,0,26
Jammu & Kashmir,18.3.1 - Counterfeiting currency notes or Bank notes (Section 489A IPC),3,7,0,0,10
Jammu & Kashmir,18.3.2 - Using forged or counterfeit currency/Bank notes (Section 489B IPC),3,7,5,0,15
Jammu & Kashmir,18.3.3 - Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),0,1,0,0,1
Jammu & Kashmir,18.3.4 - Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),0,0,0,0,0
Jammu & Kashmir,18.3.5 - Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),0,0,0,0,0
Jammu & Kashmir,19 - Arson (Section 435-436 & 438 IPC),40,122,11,0,173
Jammu & Kashmir,"20 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",276,284,133,11,704
Jammu & Kashmir,20.1 - Grievous Hurt (Section 325 & 326 IPC),276,284,133,11,704
Jammu & Kashmir,20.2 - Acid attack (Section 326A IPC),0,0,0,0,0
Jammu & Kashmir,20.3 - Attempt to Acid Attack (Section 326B IPC),0,0,0,0,0
Jammu & Kashmir,21 - Dowry Deaths (Section 304-B IPC),10,4,0,0,14
Jammu & Kashmir,22 - Assault on women with intent to outrage her Modesty (Section 354 IPC),724,1325,522,4,2575
Jammu & Kashmir,22.1 - Sexual Harassment (Section 354A IPC),71,266,18,4,359
Jammu & Kashmir,22.2 - Assault on women with intent to Disrobe (Section 354B IPC),0,254,0,0,254
Jammu & Kashmir,22.3 - Voyeurism (Section 354C IPC),0,0,0,0,0
Jammu & Kashmir,22.4 - Stalking (Section 354D IPC),1,0,0,0,1
Jammu & Kashmir,22.5 - Others,652,805,504,0,1961
Jammu & Kashmir,23 - Insult to the Modesty of Women (Section 509 IPC),154,115,14,0,283
Jammu & Kashmir,23.1 - At Office premises,0,0,0,0,0
Jammu & Kashmir,23.2 - Places related to work other than Office,4,2,1,0,7
Jammu & Kashmir,23.3 - In Public Transport system,0,7,1,0,8
Jammu & Kashmir,23.4 - in Other Places,150,106,12,0,268
Jammu & Kashmir,24 - Cruelty by Husband or his Relatives (Section 498-A IPC),390,477,110,8,985
Jammu & Kashmir,25 - Importation of Girls from Foreign Country (Section 366-B IPC),0,0,0,0,0
Jammu & Kashmir,26 - Causing Death by Negligence (Section 304-A IPC),291,320,93,0,704
Jammu & Kashmir,26.1 - Deaths due to negligent driving/act,286,316,92,0,694
Jammu & Kashmir,26.2 - Deaths due to Other Causes,5,4,1,0,10
Jammu & Kashmir,"27 - Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",0,0,0,0,0
Jammu & Kashmir,27.1 - Sedition (Section 124A IPC),0,0,0,0,0
Jammu & Kashmir,27.2 - Other offences against State,0,0,0,0,0
Jammu & Kashmir,28 - Offences promoting enmity between different groups (Section 153A & 153B IPC),0,0,0,0,0
Jammu & Kashmir,28.1 - Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),0,0,0,0,0
Jammu & Kashmir,28.2 - Imputation & assertions prejudicial to national integration (Section 153B IPC),0,0,0,0,0
Jammu & Kashmir,29 - Extortion (Section 384 - 389 IPC),0,0,0,0,0
Jammu & Kashmir,30 - Disclosure of Identity of Victims (Section 228 A IPC),0,0,0,0,0
Jammu & Kashmir,31 - Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),1729,2243,720,2,4694
Jammu & Kashmir,32 - Human Trafficking (Section 370 & 370A IPC),0,0,0,0,0
Jammu & Kashmir,33 - Unnatural Offences U/s 377 IPC,8,16,0,0,24
Jammu & Kashmir,34 - Other IPC crimes,4421,8014,2162,126,14723
Jammu & Kashmir,35 - Total Cognizable IPC crimes,11220,19643,5314,298,36475
Jharkhand,1 - Murder (Section 302 IPC),953,1481,362,2,2798
Jharkhand,2 - Attempt to commit Murder (Section 307 IPC),414,529,115,2,1060
Jharkhand,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),40,91,22,0,153
Jharkhand,4 - Attempt to commit Culpable Homicide (Section 308 IPC),2,1,0,0,3
Jharkhand,5 - Rape (Section 376 IPC),778,635,144,0,1557
Jharkhand,5.1 - Custodial Rape,0,0,0,0,0
Jharkhand,5.1.1 - Gang Rape,0,0,0,0,0
Jharkhand,5.1.2 - Other Rape,0,0,0,0,0
Jharkhand,5.2 - Rape other than Custodial,778,635,144,0,1557
Jharkhand,5.2.1 - Gang Rape,44,24,5,0,73
Jharkhand,5.2.2 - Other Rape,734,611,139,0,1484
Jharkhand,6 - Attempt to commit Rape (Section 376/511 IPC),129,44,5,0,178
Jharkhand,"7 - Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",752,706,86,0,1544
Jharkhand,7.1 - Kidnapping & Abduction (Section 363 IPC),47,83,2,0,132
Jharkhand,7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),37,30,6,0,73
Jharkhand,7.3 - Kidnapping for Ransom (Section 364A IPC),17,50,3,0,70
Jharkhand,7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),468,242,24,0,734
Jharkhand,7.5 - Other Kidnapping,183,301,51,0,535
Jharkhand,"8 - Dacoity (Section 395,396-398 IPC)",206,289,18,0,513
Jharkhand,8.1 - Dacoity with Murder (Section 396 IPC),0,4,0,0,4
Jharkhand,8.2 - Other Dacoity,206,285,18,0,509
Jharkhand,9 - Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),18,10,0,0,28
Jharkhand,"10 - Robbery (Section 392 to 394, 397 and 398 IPC)",473,494,16,0,983
Jharkhand,11 - Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),408,405,64,0,877
Jharkhand,"11.1 - Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",248,312,27,0,587
Jharkhand,"11.2 - House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",160,93,37,0,290
Jharkhand,12 - Theft (Section 379 to 382 IPC),2012,2101,375,0,4488
Jharkhand,12.1 - Auto Theft,663,544,54,0,1261
Jharkhand,12.2 - Other Thefts,1349,1557,321,0,3227
Jharkhand,"13 - Unlawful Assembly (Section 143,144 & 145)",88,68,19,0,175
Jharkhand,"14 - Riots (Section 147, 148, 149, 150 & 151 IPC)",1284,1985,419,0,3688
Jharkhand,14.1 - Communal,94,170,10,0,274
Jharkhand,14.2 - Industrial,0,0,0,0,0
Jharkhand,14.3 - Political,2,22,0,0,24
Jharkhand,14.4 - Caste Conflict,28,54,13,0,95
Jharkhand,14.4.1 - SC/STs Vs. Non-SCs/STs,0,2,0,0,2
Jharkhand,14.4.2 - Other Caste Riots,28,52,13,0,93
Jharkhand,14.5 - Agrarian,3,10,0,0,13
Jharkhand,14.6 - Students,0,0,0,0,0
Jharkhand,14.7 - Sectarian,0,0,0,0,0
Jharkhand,14.8 - Other Riots,1157,1729,396,0,3282
Jharkhand,15 - Criminal Breach of Trust (Section 406 to 409 IPC),301,613,138,0,1052
Jharkhand,16 - Cheating (Section 420 IPC),779,1635,432,0,2846
Jharkhand,"17 - Forgery (Section 465, 468 & 471 IPC)",88,173,39,0,300
Jharkhand,"18 - Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",1,9,2,0,12
Jharkhand,"18.1 - Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",0,0,0,0,0
Jharkhand,18.2 - Counterfeiting Government Stamp (Section 255 IPC),0,1,0,0,1
Jharkhand,18.3 - Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),1,8,2,0,11
Jharkhand,18.3.1 - Counterfeiting currency notes or Bank notes (Section 489A IPC),1,4,2,0,7
Jharkhand,18.3.2 - Using forged or counterfeit currency/Bank notes (Section 489B IPC),0,0,0,0,0
Jharkhand,18.3.3 - Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),0,0,0,0,0
Jharkhand,18.3.4 - Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),0,0,0,0,0
Jharkhand,18.3.5 - Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),0,4,0,0,4
Jharkhand,19 - Arson (Section 435-436 & 438 IPC),85,165,18,0,268
Jharkhand,"20 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",1019,1172,314,73,2578
Jharkhand,20.1 - Grievous Hurt (Section 325 & 326 IPC),1016,1172,314,73,2575
Jharkhand,20.2 - Acid attack (Section 326A IPC),1,0,0,0,1
Jharkhand,20.3 - Attempt to Acid Attack (Section 326B IPC),2,0,0,0,2
Jharkhand,21 - Dowry Deaths (Section 304-B IPC),144,288,63,3,498
Jharkhand,22 - Assault on women with intent to outrage her Modesty (Section 354 IPC),366,217,18,0,601
Jharkhand,22.1 - Sexual Harassment (Section 354A IPC),117,114,3,0,234
Jharkhand,22.2 - Assault on women with intent to Disrobe (Section 354B IPC),50,32,2,0,84
Jharkhand,22.3 - Voyeurism (Section 354C IPC),0,0,0,0,0
Jharkhand,22.4 - Stalking (Section 354D IPC),4,0,0,0,4
Jharkhand,22.5 - Others,195,71,13,0,279
Jharkhand,23 - Insult to the Modesty of Women (Section 509 IPC),46,22,2,0,70
Jharkhand,23.1 - At Office premises,0,0,0,0,0
Jharkhand,23.2 - Places related to work other than Office,0,0,0,0,0
Jharkhand,23.3 - In Public Transport system,0,0,0,0,0
Jharkhand,23.4 - in Other Places,46,22,2,0,70
Jharkhand,24 - Cruelty by Husband or his Relatives (Section 498-A IPC),474,1005,271,5,1755
Jharkhand,25 - Importation of Girls from Foreign Country (Section 366-B IPC),1,1,0,0,2
Jharkhand,26 - Causing Death by Negligence (Section 304-A IPC),766,1545,304,0,2615
Jharkhand,26.1 - Deaths due to negligent driving/act,757,1487,301,0,2545
Jharkhand,26.2 - Deaths due to Other Causes,9,58,3,0,70
Jharkhand,"27 - Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",6,12,0,0,18
Jharkhand,27.1 - Sedition (Section 124A IPC),6,12,0,0,18
Jharkhand,27.2 - Other offences against State,0,0,0,0,0
Jharkhand,28 - Offences promoting enmity between different groups (Section 153A & 153B IPC),0,0,0,0,0
Jharkhand,28.1 - Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),0,0,0,0,0
Jharkhand,28.2 - Imputation & assertions prejudicial to national integration (Section 153B IPC),0,0,0,0,0
Jharkhand,29 - Extortion (Section 384 - 389 IPC),188,251,30,0,469
Jharkhand,30 - Disclosure of Identity of Victims (Section 228 A IPC),0,0,0,0,0
Jharkhand,31 - Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),781,1231,215,6,2233
Jharkhand,32 - Human Trafficking (Section 370 & 370A IPC),49,60,5,0,114
Jharkhand,33 - Unnatural Offences U/s 377 IPC,4,6,0,0,10
Jharkhand,34 - Other IPC crimes,8184,13372,3298,66,24920
Jharkhand,35 - Total Cognizable IPC crimes,20839,30616,6794,157,58406
Karnataka,1 - Murder (Section 302 IPC),1521,1314,503,50,3388
Karnataka,2 - Attempt to commit Murder (Section 307 IPC),2834,2196,1046,112,6188
Karnataka,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),37,78,10,1,126
Karnataka,4 - Attempt to commit Culpable Homicide (Section 308 IPC),85,52,22,1,160
Karnataka,5 - Rape (Section 376 IPC),1229,566,118,10,1923
Karnataka,5.1 - Custodial Rape,0,0,0,0,0
Karnataka,5.1.1 - Gang Rape,0,0,0,0,0
Karnataka,5.1.2 - Other Rape,0,0,0,0,0
Karnataka,5.2 - Rape other than Custodial,1229,566,118,10,1923
Karnataka,5.2.1 - Gang Rape,66,9,0,0,75
Karnataka,5.2.2 - Other Rape,1163,557,118,10,1848
Karnataka,6 - Attempt to commit Rape (Section 376/511 IPC),23,4,0,0,27
Karnataka,"7 - Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",1125,699,113,17,1954
Karnataka,7.1 - Kidnapping & Abduction (Section 363 IPC),315,208,16,1,540
Karnataka,7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),0,0,0,0,0
Karnataka,7.3 - Kidnapping for Ransom (Section 364A IPC),68,31,2,0,101
Karnataka,7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),221,137,42,9,409
Karnataka,7.5 - Other Kidnapping,521,323,53,7,904
Karnataka,"8 - Dacoity (Section 395,396-398 IPC)",521,323,29,3,876
Karnataka,8.1 - Dacoity with Murder (Section 396 IPC),0,0,0,0,0
Karnataka,8.2 - Other Dacoity,521,323,29,3,876
Karnataka,9 - Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),1473,430,26,1,1930
Karnataka,"10 - Robbery (Section 392 to 394, 397 and 398 IPC)",2153,819,112,13,3097
Karnataka,11 - Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),3214,2362,649,12,6237
Karnataka,"11.1 - Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2174,1761,578,12,4525
Karnataka,"11.2 - House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",1040,601,71,0,1712
Karnataka,12 - Theft (Section 379 to 382 IPC),8206,5101,1033,62,14402
Karnataka,12.1 - Auto Theft,3379,2143,413,8,5943
Karnataka,12.2 - Other Thefts,4827,2958,620,54,8459
Karnataka,"13 - Unlawful Assembly (Section 143,144 & 145)",73,98,54,0,225
Karnataka,"14 - Riots (Section 147, 148, 149, 150 & 151 IPC)",9722,10832,4559,549,25662
Karnataka,14.1 - Communal,169,121,47,12,349
Karnataka,14.2 - Industrial,13,43,10,0,66
Karnataka,14.3 - Political,90,110,28,0,228
Karnataka,14.4 - Caste Conflict,122,115,40,0,277
Karnataka,14.4.1 - SC/STs Vs. Non-SCs/STs,0,0,0,0,0
Karnataka,14.4.2 - Other Caste Riots,122,115,40,0,277
Karnataka,14.5 - Agrarian,65,102,78,11,256
Karnataka,14.6 - Students,15,0,0,0,15
Karnataka,14.7 - Sectarian,0,0,0,0,0
Karnataka,14.8 - Other Riots,9248,10341,4356,526,24471
Karnataka,15 - Criminal Breach of Trust (Section 406 to 409 IPC),224,416,78,7,725
Karnataka,16 - Cheating (Section 420 IPC),2513,3707,1608,189,8017
Karnataka,"17 - Forgery (Section 465, 468 & 471 IPC)",104,143,58,4,309
Karnataka,"18 - Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",50,28,13,0,91
Karnataka,"18.1 - Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",0,0,0,0,0
Karnataka,18.2 - Counterfeiting Government Stamp (Section 255 IPC),0,1,0,0,1
Karnataka,18.3 - Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),50,27,13,0,90
Karnataka,18.3.1 - Counterfeiting currency notes or Bank notes (Section 489A IPC),38,19,5,0,62
Karnataka,18.3.2 - Using forged or counterfeit currency/Bank notes (Section 489B IPC),9,7,1,0,17
Karnataka,18.3.3 - Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2,1,7,0,10
Karnataka,18.3.4 - Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),0,0,0,0,0
Karnataka,18.3.5 - Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),1,0,0,0,1
Karnataka,19 - Arson (Section 435-436 & 438 IPC),206,1048,158,4,1416
Karnataka,"20 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",1937,1787,774,37,4535
Karnataka,20.1 - Grievous Hurt (Section 325 & 326 IPC),1934,1783,774,37,4528
Karnataka,20.2 - Acid attack (Section 326A IPC),2,3,0,0,5
Karnataka,20.3 - Attempt to Acid Attack (Section 326B IPC),1,1,0,0,2
Karnataka,21 - Dowry Deaths (Section 304-B IPC),204,317,127,27,675
Karnataka,22 - Assault on women with intent to outrage her Modesty (Section 354 IPC),3692,3421,1272,94,8479
Karnataka,22.1 - Sexual Harassment (Section 354A IPC),153,151,48,4,356
Karnataka,22.2 - Assault on women with intent to Disrobe (Section 354B IPC),82,133,54,3,272
Karnataka,22.3 - Voyeurism (Section 354C IPC),8,0,2,0,10
Karnataka,22.4 - Stalking (Section 354D IPC),42,23,5,0,70
Karnataka,22.5 - Others,3407,3114,1163,87,7771
Karnataka,23 - Insult to the Modesty of Women (Section 509 IPC),96,87,6,1,190
Karnataka,23.1 - At Office premises,2,2,1,0,5
Karnataka,23.2 - Places related to work other than Office,2,10,0,0,12
Karnataka,23.3 - In Public Transport system,1,1,0,0,2
Karnataka,23.4 - in Other Places,91,74,5,1,171
Karnataka,24 - Cruelty by Husband or his Relatives (Section 498-A IPC),1947,2479,911,186,5523
Karnataka,25 - Importation of Girls from Foreign Country (Section 366-B IPC),0,0,0,0,0
Karnataka,26 - Causing Death by Negligence (Section 304-A IPC),4359,4194,1277,63,9893
Karnataka,26.1 - Deaths due to negligent driving/act,4153,3793,1175,54,9175
Karnataka,26.2 - Deaths due to Other Causes,206,401,102,9,718
Karnataka,"27 - Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",0,0,0,0,0
Karnataka,27.1 - Sedition (Section 124A IPC),0,0,0,0,0
Karnataka,27.2 - Other offences against State,0,0,0,0,0
Karnataka,28 - Offences promoting enmity between different groups (Section 153A & 153B IPC),48,11,3,1,63
Karnataka,28.1 - Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),48,11,3,1,63
