STATE/UT,YEAR,Persons InCust./ Bail During Investigation At Beginning Of The Year,Persons Arrested During The Year,Persons Released By Police/Magistrate Before Trial,Persons In Custody/ Bail During Investigation At The End Of Year,Persons Chargesheeted,Persons Under Trial At The Beginning Of Year,Total Persons Under Trial,No. Of Persons Whose Cases Withdrawn Or Otherwise Disposed Of,Persons In Custody/ Bail During Trial At The End Of Year,Persons In Whose Cases Trial Completed,Persons Convicted,Persons Acquitted,Persons Reported For Regular Deptt. Action,Persons Reported For Suitable Action,Persons Punished Departmentally - Dismissed from Service,Persons Punished Departmentally - Removed from Service,Persons Punished Departmentally - Awarded Minor Punishment,Persons Punished Departmentally - Awarded Other Major Punishment,Gazetted Or Equal Status Officers In Public Sector Undertaking Involved - Group 'A' Officers,Gazetted Or Equal Status Officers In Public Sector Undertaking Involved - Group 'B' Officers,Non Gazetted or Equal Status Officers in Public Undertaking Involved,Private Persons Involved
Punjab,2001,90,411,3,219,279,1439,1718,51,1512,155,43,112,0,0,0,0,0,4,4,73,191,143
Punjab,2002,219,0,0,0,213,1718,0,14,0,199,90,209,0,0,7,7,0,0,0,96,255,58
Punjab,2003,219,0,0,0,213,1718,0,14,0,199,90,209,0,0,7,7,0,0,0,96,255,58
Punjab,2004,338,528,157,338,371,1037,1408,109,1037,262,114,148,15,62,13,0,0,0,125,0,424,136
Punjab,2005,338,748,34,523,529,1037,1566,35,1244,287,95,192,0,26,8,0,0,0,79,0,573,115
Punjab,2006,523,329,99,330,423,1244,1667,23,1393,251,62,189,0,8,1,0,0,0,0,0,323,61
Punjab,2007,330,296,85,212,329,1393,1722,49,1450,223,70,153,0,3,9,0,0,0,0,0,192,88
Punjab,2008,212,290,70,195,237,1450,1687,20,1421,246,80,166,0,17,23,0,0,0,0,0,230,106
Punjab,2009,195,182,55,57,265,1421,1686,17,1135,534,164,370,3,26,52,0,0,0,0,0,186,59
Punjab,2010,57,459,26,112,378,1135,1513,12,1122,379,104,275,13,22,0,45,0,0,0,0,101,35
Punjab,2011,112,146,63,50,145,1122,1267,12,744,511,205,306,7,13,30,0,0,0,0,0,65,17
Punjab,2012,50,178,46,47,135,744,879,11,574,294,125,169,2,39,35,0,0,0,31,0,106,117
Rajasthan,2001,196,216,0,118,294,2109,2403,0,2058,345,77,268,139,139,1,1,4,24,0,11,19,0
Rajasthan,2002,196,216,0,294,463,2109,2572,0,2227,345,77,268,139,139,1,1,4,24,0,11,19,0
Rajasthan,2003,387,214,20,420,385,2383,2768,0,2421,347,106,241,118,118,0,0,0,23,0,21,2,0
Rajasthan,2004,420,213,0,428,516,2491,3007,0,2610,397,108,289,61,61,0,0,1,5,0,5,5,0
Rajasthan,2005,428,197,0,436,189,2610,2799,0,2482,317,96,221,103,103,0,0,1,25,0,0,0,0
Rajasthan,2006,436,251,0,390,297,2482,3599,0,3144,455,97,358,134,134,0,2,26,14,0,0,26,0
Rajasthan,2007,390,223,0,377,548,2827,3692,0,3231,461,169,292,292,292,0,0,13,19,7,0,25,0
Rajasthan,2008,377,227,0,335,635,3231,3866,0,3663,203,72,131,158,158,1,5,14,0,0,28,52,0
Rajasthan,2009,335,228,0,381,432,3663,4095,0,4019,76,23,53,179,70,0,0,11,15,34,39,0,0
Rajasthan,2010,381,225,0,366,454,4019,4473,9,4338,135,14,121,183,69,0,0,7,5,80,46,46,0
Rajasthan,2011,366,258,0,394,442,4338,4780,0,4371,409,59,350,138,138,0,0,20,22,70,68,138,0
Rajasthan,2012,394,307,18,479,427,4371,4798,26,4682,130,46,84,144,144,1,0,8,3,77,67,144,0
Sikkim,2001,4,4,1,4,3,6,9,0,3,6,3,3,1,0,0,0,0,0,0,0,0,0
Sikkim,2002,4,3,0,7,0,7,7,0,3,4,3,1,0,0,0,0,0,0,0,2,1,0
Sikkim,2003,7,0,0,7,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2004,7,16,0,10,13,27,40,3,34,3,1,2,9,0,0,0,0,0,3,2,12,23
Sikkim,2005,10,32,0,32,10,34,44,2,39,3,3,0,2,0,0,0,0,0,3,2,15,24
Sikkim,2006,32,25,0,47,10,39,49,3,38,8,3,5,4,2,0,0,0,0,4,2,13,30
Sikkim,2007,47,23,11,45,14,38,52,0,45,7,5,2,5,0,0,0,0,0,5,3,16,28
Sikkim,2008,45,49,4,88,2,45,47,4,36,7,3,4,5,0,0,0,0,0,4,2,12,18
Sikkim,2009,88,12,10,77,13,36,49,0,49,0,0,0,5,0,0,0,0,0,1,2,1,8
Sikkim,2010,77,24,6,85,10,49,59,0,58,1,0,1,2,0,0,0,0,0,3,4,5,13
Sikkim,2011,85,22,13,86,8,58,66,2,54,10,6,4,8,0,0,0,0,1,1,4,5,14
Sikkim,2012,86,22,0,108,12,54,66,2,48,16,12,4,0,0,2,0,0,0,1,5,5,11
Tamil Nadu,2001,437,129,0,448,118,181,299,0,274,25,13,12,32,0,2,3,4,9,1,25,100,3
Tamil Nadu,2002,448,249,0,525,172,274,446,1,358,87,72,15,3,0,5,100,6,0,5,69,161,14
Tamil Nadu,2003,525,252,0,586,191,358,549,0,510,39,23,16,27,0,9,1,22,6,5,84,148,15
Tamil Nadu,2004,586,144,0,583,147,510,657,3,609,42,26,16,24,0,2,19,28,0,0,41,109,5
Tamil Nadu,2005,583,224,0,733,74,609,683,2,627,54,27,27,28,1,5,1,17,0,5,65,154,13
Tamil Nadu,2006,733,135,0,811,57,627,684,1,642,41,20,21,3,0,2,1,2,15,3,38,88,6
Tamil Nadu,2007,811,223,108,142,784,642,1426,46,1292,88,43,45,396,171,13,3,24,25,12,148,177,131
Tamil Nadu,2008,142,306,131,68,249,1292,1541,26,1349,166,63,103,266,140,13,2,27,47,15,138,248,106
Tamil Nadu,2009,68,408,62,258,156,1349,1505,20,1389,96,37,59,192,134,6,5,47,80,23,275,492,144
Tamil Nadu,2010,258,296,59,173,322,1389,1711,38,1418,255,31,224,187,206,12,4,29,52,5,226,349,90
Tamil Nadu,2011,173,208,75,130,176,1418,1594,8,1421,165,41,124,230,256,5,2,30,34,11,174,208,64
Tamil Nadu,2012,130,138,21,120,127,1421,1548,36,1398,114,32,82,334,66,8,4,26,38,36,231,201,93
Tripura,2001,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tripura,2002,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2003,3,1,0,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2004,1,3,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2005,4,1,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2006,5,2,0,4,3,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2007,4,1,0,4,1,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2008,4,1,0,4,1,5,6,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0
Tripura,2009,4,2,0,4,1,4,5,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
Tripura,2010,4,0,4,0,0,4,4,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0
Tripura,2011,0,0,0,0,0,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
Tripura,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2001,53,108,1,41,119,163,282,2,277,3,0,3,1,5,0,0,6,0,3,0,109,20
Uttar Pradesh,2002,41,36,2,37,38,277,315,1,306,8,1,7,26,0,0,0,0,0,0,0,144,1
Uttar Pradesh,2003,37,14,114,214,62,306,368,0,366,12,2,10,9,0,0,0,0,0,0,0,113,38
Uttar Pradesh,2004,214,46,40,159,61,366,427,2,414,11,1,10,0,0,0,0,0,0,0,1,120,8
Uttar Pradesh,2005,159,15,3,135,43,414,457,6,436,15,0,13,0,0,0,0,0,0,0,0,96,0
Uttar Pradesh,2006,135,78,0,152,61,436,497,0,476,21,0,21,0,0,0,0,0,0,0,0,90,0
Uttar Pradesh,2007,152,130,0,168,115,476,591,0,576,15,2,13,0,0,0,0,0,0,0,0,198,0
Uttar Pradesh,2008,168,76,0,134,110,576,686,0,666,20,3,17,0,0,0,0,0,0,0,0,71,0
Uttar Pradesh,2009,134,43,0,118,59,666,725,0,714,11,4,7,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2010,118,31,0,105,44,714,758,0,728,30,3,27,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2011,105,45,0,105,45,728,773,0,758,15,7,8,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2012,105,19,0,96,28,758,786,0,765,21,4,17,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2001,5,4,0,5,4,8,12,3,8,1,0,1,1,1,0,0,0,1,0,0,1,0
Uttarakhand,2002,5,7,1,6,5,8,13,1,12,0,0,0,0,0,0,0,0,0,0,1,3,0
Uttarakhand,2003,6,1,0,7,0,12,12,0,10,2,0,2,0,0,0,0,0,0,2,1,0,0
Uttarakhand,2004,7,11,0,14,4,10,14,0,13,1,0,1,0,0,0,0,0,0,0,0,1,0
Uttarakhand,2005,14,7,0,19,2,13,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2006,19,11,0,27,3,15,18,0,18,0,0,0,1,0,0,0,0,0,0,2,1,0
Uttarakhand,2007,27,5,0,19,13,18,31,0,30,1,0,1,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2008,19,4,0,20,3,30,33,0,32,1,0,1,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2009,20,3,0,16,7,32,39,0,38,1,1,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2010,16,0,0,16,0,38,38,0,36,2,2,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2011,16,0,0,10,6,36,42,0,36,5,2,3,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2012,10,0,0,5,5,36,41,0,36,5,2,3,0,0,0,0,0,0,0,0,0,0
West Bengal,2001,33,4,0,33,4,53,57,0,56,1,1,0,0,0,0,0,0,0,2,0,2,0
West Bengal,2002,33,0,0,32,1,56,57,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2003,32,1,0,32,1,56,57,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2004,32,0,0,32,0,57,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2005,32,0,0,32,0,56,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2006,32,0,0,32,0,56,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2007,2,4,2,3,1,36,37,0,9,28,0,28,5,0,0,0,0,0,0,0,7,0
West Bengal,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2011,5,63,2,0,66,71,137,1,136,0,0,0,0,0,0,0,0,0,0,0,34,103
West Bengal,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A&N Islands,2001,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A&N Islands,2002,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
A&N Islands,2003,3,1,0,3,1,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0
A&N Islands,2004,3,2,0,5,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0
A&N Islands,2005,5,1,0,5,1,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0
A&N Islands,2006,7,6,0,8,5,7,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
A&N Islands,2007,12,0,0,12,1,9,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
A&N Islands,2008,12,2,0,12,2,10,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
A&N Islands,2009,12,0,0,14,2,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A&N Islands,2010,14,3,0,3,8,14,22,0,22,0,0,0,8,0,0,0,0,0,0,0,3,0
A&N Islands,2011,22,1,0,0,7,22,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
A&N Islands,2012,29,1,0,27,3,29,32,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0
Chandigarh,2001,9,43,5,35,12,60,72,0,71,1,0,1,0,0,0,0,0,0,2,0,8,33
Chandigarh,2002,35,6,0,37,4,71,75,0,70,5,1,4,0,0,0,0,0,0,3,3,3,0
Chandigarh,2003,37,3,0,37,3,70,75,0,74,1,0,1,0,0,0,0,0,0,0,9,9,5
Chandigarh,2004,37,6,1,41,1,74,75,0,74,1,0,1,0,0,0,0,0,0,0,0,4,2
Chandigarh,2005,41,9,0,46,4,74,78,0,77,1,0,1,0,0,0,0,0,0,2,0,6,1
Chandigarh,2006,46,17,2,51,10,77,87,1,84,2,0,2,0,0,0,0,0,0,0,0,14,3
Chandigarh,2007,51,29,0,67,13,84,97,2,87,8,3,5,0,0,0,0,0,0,0,0,10,19
Chandigarh,2008,67,7,0,62,12,87,99,0,95,4,3,1,0,0,0,0,0,0,0,0,4,2
Chandigarh,2009,62,13,0,23,52,95,147,0,133,14,6,8,0,0,0,0,0,0,0,0,6,11
Chandigarh,2010,23,12,0,23,12,133,145,0,153,13,8,5,0,0,0,0,0,0,0,0,5,7
Chandigarh,2011,23,16,0,29,10,153,163,0,160,3,2,1,0,0,0,0,0,0,0,0,0,14
Chandigarh,2012,29,23,3,38,11,160,171,0,153,18,5,13,0,0,0,0,0,0,1,0,7,15
D&N Haveli,2001,2,0,0,2,0,4,4,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2002,1,0,0,2,3,5,2,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2003,0,1,0,0,1,3,4,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0
D&N Haveli,2004,0,1,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2005,1,0,0,0,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2006,0,0,0,0,0,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2007,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2008,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2009,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2010,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2011,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2012,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2001,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2002,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Daman & Diu,2003,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2004,9,0,0,1,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2005,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2006,1,0,0,0,1,8,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2007,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2008,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2009,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2010,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2011,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,2001,144,87,5,103,123,443,566,12,477,77,5,72,78,0,0,0,0,0,0,7,69,11
Delhi UT,2002,103,94,4,111,82,477,559,4,508,47,14,33,112,0,0,0,0,0,3,2,81,8
Delhi UT,2003,111,106,0,146,71,508,579,0,539,40,9,31,58,0,0,0,0,0,4,8,81,13
Delhi UT,2004,146,63,0,136,72,539,612,5,558,49,22,27,45,0,0,0,0,0,0,4,50,9
Delhi UT,2005,136,102,0,160,78,558,636,7,573,56,22,34,78,0,0,0,0,0,6,10,77,9
Delhi UT,2006,160,116,0,169,107,573,680,2,628,50,37,13,105,0,0,0,0,0,4,8,78,26
Delhi UT,2007,169,64,0,162,71,628,699,2,611,86,44,42,53,0,0,0,0,0,2,1,49,12
Delhi UT,2008,162,121,0,204,79,611,690,8,595,87,61,26,43,0,0,0,0,0,2,26,70,23
Delhi UT,2009,204,95,0,226,73,595,668,4,572,92,50,42,33,0,0,0,0,0,11,18,58,8
Delhi UT,2010,226,44,0,251,19,572,591,10,449,132,61,71,34,0,0,0,0,0,2,4,34,4
Delhi UT,2011,251,15,0,241,25,449,474,26,283,165,105,60,8,0,0,0,0,0,0,0,11,4
Delhi UT,2012,241,37,0,248,30,283,313,12,176,125,89,36,5,0,0,0,0,0,0,0,13,11
Lakshadweep,2001,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2003,0,0,0,0,0,7,7,0,7,1,1,0,0,0,0,0,0,0,1,2,2,2
Lakshadweep,2004,0,0,0,0,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2008,0,0,0,0,3,16,20,0,20,0,0,0,0,0,0,0,0,0,2,0,2,2
Lakshadweep,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2010,0,1,0,0,0,17,17,0,17,5,0,5,0,0,0,0,0,0,5,2,1,3
Lakshadweep,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Puducherry,2001,4,5,0,8,1,7,8,0,8,0,0,0,0,0,0,0,0,0,1,0,3,6
Puducherry,2002,8,0,0,5,3,8,11,0,7,4,0,4,0,0,0,0,0,0,0,1,3,1
Puducherry,2003,5,6,0,7,4,7,11,0,9,2,0,2,0,0,0,0,0,0,0,0,1,0
Puducherry,2004,7,10,0,12,5,9,14,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0
Puducherry,2005,12,12,0,12,12,12,24,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0
Puducherry,2006,12,2,1,10,3,25,28,0,24,4,1,3,0,0,0,0,0,0,0,2,6,0
Puducherry,2007,10,18,0,28,0,24,24,0,18,6,6,0,0,0,0,0,0,0,0,2,16,0
Puducherry,2008,28,2,2,7,21,18,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2009,13,9,0,21,1,64,65,1,62,2,0,2,0,0,0,0,0,0,0,0,0,0
Puducherry,2010,9,6,0,15,3,62,65,1,61,3,1,2,0,0,0,0,0,0,0,0,0,0
Puducherry,2011,15,2,0,10,7,61,68,0,63,5,2,3,0,0,0,0,0,0,0,0,4,0
Puducherry,2012,10,3,0,11,2,63,65,0,58,7,0,7,0,0,0,0,0,0,0,0,1,0

